 # Pressure Initial   1.6052041603631845E+031
 # 
 #  Radius              Mass                  Rho                   Pressure 
  #-------------------------------------
  1.180000000000000E+05   1.092067314674190E+29   1.578030602006868E+13   1.580456564045703E+31
  1.185000000000000E+05   1.105930813124267E+29   1.577846180108152E+13   1.580248820588055E+31
  1.190000000000000E+05   1.119910160816680E+29   1.577661013013018E+13   1.580040237698206E+31
  1.195000000000000E+05   1.134005819184775E+29   1.577475101088241E+13   1.579830815789312E+31
  1.200000000000000E+05   1.148218249322675E+29   1.577288444639426E+13   1.579620555205623E+31
  1.205000000000000E+05   1.162547911985674E+29   1.577101044346910E+13   1.579409456713510E+31
  1.210000000000000E+05   1.176995267587846E+29   1.576912900331602E+13   1.579197520449174E+31
  1.215000000000000E+05   1.191560776200778E+29   1.576724013089663E+13   1.578984746971517E+31
  1.220000000000000E+05   1.206244897554632E+29   1.576534383372294E+13   1.578771137126735E+31
  1.225000000000000E+05   1.221048091035183E+29   1.576344011365312E+13   1.578556691124146E+31
  1.230000000000000E+05   1.235970815681364E+29   1.576152897635467E+13   1.578341409602167E+31
  1.235000000000000E+05   1.251013530187025E+29   1.575961042688292E+13   1.578125293130259E+31
  1.240000000000000E+05   1.266176692896662E+29   1.575768446646671E+13   1.577908341846848E+31
  1.245000000000000E+05   1.281460761804764E+29   1.575575110275776E+13   1.577690556613866E+31
  1.250000000000000E+05   1.296866194555787E+29   1.575381033828789E+13   1.577471937716514E+31
  1.255000000000000E+05   1.312393448442323E+29   1.575186217817653E+13   1.577252485731471E+31
  1.260000000000000E+05   1.328042980404494E+29   1.574990662821909E+13   1.577032201311569E+31
  1.265000000000000E+05   1.343815247026775E+29   1.574794368966513E+13   1.576811084597561E+31
  1.270000000000000E+05   1.359710704538704E+29   1.574597336898975E+13   1.576589136318844E+31
  1.275000000000000E+05   1.375729808812330E+29   1.574399567073556E+13   1.576366356987123E+31
  1.280000000000000E+05   1.391873015362312E+29   1.574201059945854E+13   1.576142747115607E+31
  1.285000000000000E+05   1.408140779344722E+29   1.574001816105800E+13   1.575918307368831E+31
  1.290000000000000E+05   1.424533555554445E+29   1.573801835813373E+13   1.575693038039649E+31
  1.295000000000000E+05   1.441051798425351E+29   1.573601119661900E+13   1.575466939796420E+31
  1.300000000000000E+05   1.457695962026953E+29   1.573399667912558E+13   1.575240012933348E+31
  1.305000000000000E+05   1.474466500063868E+29   1.573197481027866E+13   1.575012257971441E+31
